data_mode,data_source,scale_factor,query_id,query_type,mechanism,epsilon,gsq,n_runs,n_total,n_valid,n_ok,n_success,n_not_applicable,n_failed,mean_abs_error,median_abs_error,trimmed_mean_abs_error,mean_rel_error,median_rel_error,rmse,bias,std_error,p90_abs_error,p95_abs_error,mean_runtime_sec,timeout_rate
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,0.1,524288.0,10,10,10,10,0,0,0,4530539.221931687,3813566.022589864,3844689.325941401,1202.6915906375593,1012.3615669205905,5635154.799498402,2453366.746347247,5073062.312078119,8999829.226973224,10166946.225970494,0.012816170009318681,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,0.2,524288.0,10,10,10,10,0,0,0,2265269.610965843,1906783.011294932,1922344.6629707005,601.3457953187797,506.18078346029523,2817577.399749201,1226683.3731736236,2536531.1560390596,4499914.613486612,5083473.112985247,0.012125880020903378,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,0.5,524288.0,10,10,10,10,0,0,0,906107.8443863371,762713.2045179729,768937.8651882802,240.53831812751187,202.47231338411808,1127030.9598996805,490673.34926944954,1014612.462415624,1799965.8453946451,2033389.2451940987,0.01146777998364992,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,1.0,524288.0,10,10,10,10,0,0,0,453053.92219316855,381356.60225898644,384468.9325941401,120.26915906375591,101.23615669205904,563515.4799498402,245336.67463472477,507306.231207812,899982.9226973226,1016694.6225970493,0.01138636000105174,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,2.0,524288.0,10,10,10,10,0,0,0,226526.96109658427,190678.30112949322,192234.46629707006,60.13457953187797,50.61807834602952,281757.7399749201,122668.33731736238,253653.115603906,449991.4613486613,508347.31129852467,0.012089390004985,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,5.0,524288.0,10,10,10,10,0,0,0,90610.78443863371,76271.32045179728,76893.78651882803,24.053831812751184,20.247231338411808,112703.09598996803,49067.33492694494,101461.24624156239,179996.5845394645,203338.92451940986,0.01201839001441836,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,FixedTau,0.1,,60,60,60,60,0,0,0,251635.174069692,27529.11886961963,62552.47964225217,66.79988693116326,7.307968906190505,593997.4534323094,136264.8766586911,578156.4304522267,724164.0960855965,1157149.9848058384,0.07430368500596764,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,FixedTau,0.2,,60,60,60,60,0,0,0,125817.587034846,13764.559434809815,31276.239821126084,33.39994346558163,3.6539844530952523,296998.7267161548,68132.43832934555,289078.21522611333,362082.04804279824,578574.9924029192,0.07392963168482915,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,FixedTau,0.5,,60,60,60,60,0,0,0,50327.0348139384,5505.823773923927,12510.495928450433,13.359977386232654,1.4615937812381008,118799.49068646193,27252.97533173822,115631.28609044534,144832.8192171193,231429.99696116775,0.07136649331660005,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,FixedTau,1.0,,60,60,60,60,0,0,0,25163.5174069692,2752.9118869619633,6255.2479642252165,6.679988693116327,0.7307968906190505,59399.74534323096,13626.48766586911,57815.64304522267,72416.40960855965,115714.99848058388,0.07210883167475304,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,FixedTau,2.0,,60,60,60,60,0,0,0,12581.7587034846,1376.4559434809814,3127.6239821126082,3.3399943465581634,0.36539844530952514,29699.87267161548,6813.243832934555,28907.821522611335,36208.20480427983,57857.49924029193,0.07223924500625188,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,FixedTau,5.0,,60,60,60,60,0,0,0,5032.70348139384,550.5823773923926,1251.0495928450432,1.3359977386232655,0.14615937812381005,11879.949068646192,2725.2975331738216,11563.128609044536,14483.28192171193,23142.999696116774,0.07218853501156743,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,R2T,0.1,524288.0,10,10,10,10,0,0,0,908.0254852312639,899.640581718071,915.3269822014395,0.2410473812665951,0.2388214976687207,926.449991123835,-908.0254852312639,183.84587083718154,1078.4716602950487,1171.2695486630748,1.328555400003097,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,R2T,0.2,524288.0,10,10,10,10,0,0,0,454.01274261563196,449.8202908590356,457.6634911007198,0.12052369063329753,0.11941074883436036,463.2249955619175,-454.01274261563196,91.92293541859074,539.2358301475244,585.6347743315373,1.309606630023336,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,R2T,0.5,524288.0,10,10,10,10,0,0,0,181.60509704625264,179.92811634361397,183.0653964402878,0.048209476253318936,0.04776429953374405,185.2899982247669,-181.60509704625264,36.76917416743637,215.69433205900964,234.25390973261491,1.2974937399849296,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,R2T,1.0,524288.0,10,10,10,10,0,0,0,90.80254852312628,89.96405817180698,91.53269822014386,0.02410473812665942,0.023882149766872002,92.64499911238339,-90.80254852312628,18.384587083718138,107.84716602950479,117.12695486630733,1.3310735500068405,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,R2T,2.0,524288.0,10,10,10,10,0,0,0,45.401274261563415,44.98202908590383,45.76634911007219,0.01205236906332977,0.0119410748834361,46.32249955619198,-45.401274261563415,9.192293541859113,53.923583014752644,58.56347743315401,1.3015961000084644,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,R2T,5.0,524288.0,10,10,10,10,0,0,0,18.160509704625337,17.992811634361487,18.306539644028817,0.0048209476253318695,0.0047764299533744,18.528999822476752,-18.160509704625337,3.676917416743588,21.569433205901117,23.425390973261546,1.2985443600045983,0.0
real,real_tpch,0.1,q12_sja_count,SJA,DirectLaplace,0.1,524288.0,10,10,10,10,0,0,0,4530539.221931687,3813566.022589864,3844689.325941401,1435.9870750972061,1208.7372496322864,5635154.799498402,2453366.746347247,5073062.312078119,8999829.226973224,10166946.225970494,0.011642630017013239,0.0
real,real_tpch,0.1,q12_sja_count,SJA,DirectLaplace,0.2,524288.0,10,10,10,10,0,0,0,2265269.610965843,1906783.011294932,1922344.6629707005,717.9935375486032,604.3686248161432,2817577.399749201,1226683.3731736236,2536531.1560390596,4499914.613486612,5083473.112985247,0.01266180000093296,0.0
real,real_tpch,0.1,q12_sja_count,SJA,DirectLaplace,0.5,524288.0,10,10,10,10,0,0,0,906107.8443863371,762713.2045179729,768937.8651882802,287.1974150194413,241.7474499264573,1127030.9598996805,490673.34926944954,1014612.462415624,1799965.8453946451,2033389.2451940987,0.01197279998741573,0.0
real,real_tpch,0.1,q12_sja_count,SJA,DirectLaplace,1.0,524288.0,10,10,10,10,0,0,0,453053.92219316855,381356.60225898644,384468.9325941401,143.59870750972064,120.87372496322865,563515.4799498402,245336.67463472477,507306.231207812,899982.9226973226,1016694.6225970493,0.01149620000505818,0.0
real,real_tpch,0.1,q12_sja_count,SJA,DirectLaplace,2.0,524288.0,10,10,10,10,0,0,0,226526.96109658427,190678.30112949322,192234.46629707006,71.79935375486032,60.43686248161433,281757.7399749201,122668.33731736238,253653.115603906,449991.4613486613,508347.31129852467,0.011884199979249322,0.0
real,real_tpch,0.1,q12_sja_count,SJA,DirectLaplace,5.0,524288.0,10,10,10,10,0,0,0,90610.78443863371,76271.32045179728,76893.78651882803,28.71974150194412,24.17474499264573,112703.09598996803,49067.33492694494,101461.24624156239,179996.5845394645,203338.92451940986,0.00984684001305135,0.0
real,real_tpch,0.1,q12_sja_count,SJA,FixedTau,0.1,,60,60,60,60,0,0,0,251635.174069692,27529.11886961963,62552.47964225217,79.7575829064,8.725552732050595,593997.4534323094,136264.8766586911,578156.4304522267,724164.0960855965,1157149.9848058384,0.023193683342833494,0.0
real,real_tpch,0.1,q12_sja_count,SJA,FixedTau,0.2,,60,60,60,60,0,0,0,125817.587034846,13764.559434809815,31276.239821126084,39.8787914532,4.362776366025297,296998.7267161548,68132.43832934555,289078.21522611333,362082.04804279824,578574.9924029192,0.02439197499964692,0.0
real,real_tpch,0.1,q12_sja_count,SJA,FixedTau,0.5,,60,60,60,60,0,0,0,50327.0348139384,5505.823773923927,12510.495928450433,15.951516581280003,1.7451105464101193,118799.49068646193,27252.97533173822,115631.28609044534,144832.8192171193,231429.99696116775,0.023939841651978544,0.0
real,real_tpch,0.1,q12_sja_count,SJA,FixedTau,1.0,,60,60,60,60,0,0,0,25163.5174069692,2752.9118869619633,6255.2479642252165,7.975758290640002,0.8725552732050597,59399.74534323096,13626.48766586911,57815.64304522267,72416.40960855965,115714.99848058388,0.023715294998449533,0.0
real,real_tpch,0.1,q12_sja_count,SJA,FixedTau,2.0,,60,60,60,60,0,0,0,12581.7587034846,1376.4559434809817,3127.6239821126082,3.987879145320001,0.43627763660252983,29699.87267161548,6813.243832934555,28907.821522611335,36208.20480427983,57857.49924029193,0.02446767331275619,0.0
real,real_tpch,0.1,q12_sja_count,SJA,FixedTau,5.0,,60,60,60,60,0,0,0,5032.70348139384,550.5823773923926,1251.0495928450432,1.5951516581280003,0.1745110546410119,11879.949068646192,2725.2975331738216,11563.128609044536,14483.28192171193,23142.999696116774,0.021831155013448195,0.0
real,real_tpch,0.1,q12_sja_count,SJA,R2T,0.1,524288.0,10,10,10,10,0,0,0,1113.025485231264,1104.640581718071,1120.3269822014395,0.3527814533221121,0.35012379769194,1128.1068366950765,-1113.025485231264,183.84587083718162,1283.4716602950487,1376.2695486630748,0.23158130001102104,0.0
real,real_tpch,0.1,q12_sja_count,SJA,R2T,0.2,524288.0,10,10,10,10,0,0,0,659.012742615632,654.8202908590356,662.6634911007199,0.20887884076565194,0.2075500129505659,665.3928320817316,-659.012742615632,91.92293541859074,744.2358301475244,790.6347743315373,0.23292980000260285,0.0
real,real_tpch,0.1,q12_sja_count,SJA,R2T,0.5,524288.0,10,10,10,10,0,0,0,374.12848057541805,382.40116769267183,373.4194365898481,0.11858271967525129,0.12120480750956311,376.1446598422847,-374.12848057541805,38.89325327350633,404.2427546535151,430.63428480651805,0.240457719983533,0.0
real,real_tpch,0.1,q12_sja_count,SJA,R2T,1.0,524288.0,10,10,10,10,0,0,0,219.16281171522365,208.7495075303566,212.46164967805157,0.06946523350720238,0.06616466165779919,222.49057214733784,-219.16281171522365,38.33688374825451,275.4956312403674,286.6435178860911,0.2417286199954105,0.0
real,real_tpch,0.1,q12_sja_count,SJA,R2T,2.0,524288.0,10,10,10,10,0,0,0,113.95606993638557,108.37475376517841,110.23082483902583,0.03611919807809362,0.03435015967200575,115.65872407726924,-113.95606993638557,19.77257140170447,144.26141327403334,149.11504467941683,0.24433749998570414,0.0
real,real_tpch,0.1,q12_sja_count,SJA,R2T,5.0,524288.0,10,10,10,10,0,0,0,50.38242797455446,48.1499015060715,48.892329935610555,0.01596907384296493,0.01526145848052975,50.99942922606926,-50.38242797455446,7.909028560681772,62.50456530961337,64.44601787176693,0.23523276001506016,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,DirectLaplace,0.1,524288.0,10,10,10,10,0,0,0,4530539.221931687,3813566.022589864,3844689.325941401,3725.772386456978,3136.156268577191,5635154.799498402,2453366.746347247,5073062.312078119,8999829.226973224,10166946.225970494,0.026673470030073032,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,DirectLaplace,0.2,524288.0,10,10,10,10,0,0,0,2265269.610965843,1906783.011294932,1922344.6629707005,1862.886193228489,1568.0781342885953,2817577.399749201,1226683.3731736236,2536531.1560390596,4499914.613486612,5083473.112985247,0.030025199995725383,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,DirectLaplace,0.5,524288.0,10,10,10,10,0,0,0,906107.8443863371,762713.2045179729,768937.8651882802,745.1544772913957,627.2312537154382,1127030.9598996805,490673.34926944954,1014612.462415624,1799965.8453946451,2033389.2451940987,0.031380760014872014,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,DirectLaplace,1.0,524288.0,10,10,10,10,0,0,0,453053.92219316855,381356.60225898644,384468.9325941401,372.57723864569783,313.6156268577191,563515.4799498402,245336.67463472477,507306.231207812,899982.9226973226,1016694.6225970493,0.03801544999878383,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,DirectLaplace,2.0,524288.0,10,10,10,10,0,0,0,226526.96109658427,190678.30112949322,192234.46629707006,186.28861932284892,156.80781342885956,281757.7399749201,122668.33731736238,253653.115603906,449991.4613486613,508347.31129852467,0.02639087999996259,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,DirectLaplace,5.0,524288.0,10,10,10,10,0,0,0,90610.78443863371,76271.32045179728,76893.78651882803,74.51544772913957,62.723125371543816,112703.09598996803,49067.33492694494,101461.24624156239,179996.5845394645,203338.92451940986,0.021629079978447367,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,FixedTau,0.1,,60,60,60,60,0,0,0,251635.174069692,27529.11886961963,62552.47964225217,206.9368207809967,22.639078017779305,593997.4534323094,136264.8766586911,578156.4304522267,724164.0960855965,1157149.9848058384,0.04330530835674528,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,FixedTau,0.2,,60,60,60,60,0,0,0,125817.587034846,13764.559434809815,31276.239821126084,103.46841039049835,11.319539008889652,296998.7267161548,68132.43832934555,289078.21522611333,362082.04804279824,578574.9924029192,0.046463888328192565,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,FixedTau,0.5,,60,60,60,60,0,0,0,50327.0348139384,5505.823773923927,12510.495928450433,41.38736415619935,4.52781560355586,118799.49068646193,27252.97533173822,115631.28609044534,144832.8192171193,231429.99696116775,0.0477570400141606,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,FixedTau,1.0,,60,60,60,60,0,0,0,25163.5174069692,2752.9118869619633,6255.2479642252165,20.693682078099673,2.26390780177793,59399.74534323096,13626.48766586911,57815.64304522267,72416.40960855965,115714.99848058388,0.05476123166639199,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,FixedTau,2.0,,60,60,60,60,0,0,0,12581.7587034846,1376.4559434809817,3127.6239821126082,10.346841039049837,1.131953900888965,29699.87267161548,6813.243832934555,28907.821522611335,36208.20480427983,57857.49924029193,0.04268496499522973,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,FixedTau,5.0,,60,60,60,60,0,0,0,5032.70348139384,550.5823773923926,1251.0495928450432,4.138736415619935,0.45278156035558603,11879.949068646192,2725.2975331738216,11563.128609044536,14483.28192171193,23142.999696116774,0.03774310830825314,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,R2T,0.1,524288.0,10,10,10,10,0,0,0,1145.8267487252597,1199.6835590589958,1189.3153120840122,0.9422917341490622,0.9865818742261478,1150.6650307763662,-1145.8267487252597,105.40908384611188,1216.0,1216.0,0.38732163002132436,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,R2T,0.2,524288.0,10,10,10,10,0,0,0,766.012742615632,761.8202908590356,769.6634911007199,0.6299446896510131,0.6264969497196016,771.5084885505102,-766.012742615632,91.92293541859081,851.2358301475243,897.6347743315374,0.3866031799931079,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,R2T,0.5,524288.0,10,10,10,10,0,0,0,444.4685339378825,443.5647409964434,444.99662207419925,0.3655168864620745,0.3647736356878646,446.09785123056037,-444.4685339378825,38.092193578638714,498.3271096532193,501.6764623063703,0.3942024600110017,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,R2T,1.0,524288.0,10,10,10,10,0,0,0,267.9121398727714,256.74950753035705,260.46164967805186,0.22032248344800273,0.2111426871137804,270.8149423694147,-267.9121398727714,39.54514280340884,328.5228265480667,338.23008935883377,0.392333409996354,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,R2T,2.0,524288.0,10,10,10,10,0,0,0,161.27828057279277,153.17596610463409,157.10117589970443,0.13263016494473084,0.1259670773886793,162.51431999325183,-161.27828057279277,20.005509699894823,192.26141327403334,197.11504467941688,0.38106177999579816,0.0
real,real_tpch,0.1,q3_spja_order_count,SPJA,R2T,5.0,524288.0,10,10,10,10,0,0,0,81.09856310064245,80.09063540501802,79.61339306382513,0.06669289728671249,0.06586400937912659,82.32189544644031,-81.09856310064245,14.139219671034413,92.43439954544262,103.41093498968131,0.3777366099675419,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,DirectLaplace,0.1,524288.0,10,10,10,10,0,0,0,4530539.221931687,3813566.022589866,3844689.325941401,0.14963822149437367,0.1259574653739362,5635154.799498401,2453366.746347247,5073062.312078119,8999829.226973224,10166946.225970494,0.00921108000038653,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,DirectLaplace,0.2,524288.0,10,10,10,10,0,0,0,2265269.6109658424,1906783.0112949312,1922344.6629707005,0.07481911074718679,0.06297873268696795,2817577.399749201,1226683.373173623,2536531.15603906,4499914.61348661,5083473.112985247,0.01042071000847493,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,DirectLaplace,0.5,524288.0,10,10,10,10,0,0,0,906107.8443863377,762713.2045179736,768937.8651882807,0.029927644298874723,0.0251914930747872,1127030.959899681,490673.3492694497,1014612.4624156242,1799965.8453946444,2033389.2451940991,0.00930796001048287,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,DirectLaplace,1.0,524288.0,10,10,10,10,0,0,0,453053.9221931685,381356.60225898586,384468.93259414035,0.014963822149437308,0.012595746537393551,563515.4799498399,245336.67463472448,507306.2312078118,899982.922697322,1016694.6225970485,0.009924860013415967,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,DirectLaplace,2.0,524288.0,10,10,10,10,0,0,0,226526.96109658442,190678.301129492,192234.46629706956,0.007481911074718639,0.0062978732686967,281757.7399749203,122668.3373173628,253653.11560390596,449991.46134866285,508347.3112985261,0.008798310018028058,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,DirectLaplace,5.0,524288.0,10,10,10,10,0,0,0,90610.7844386328,76271.32045179605,76893.78651882708,0.0029927644298873802,0.0025191493074786502,112703.09598996735,49067.3349269446,101461.24624156179,179996.5845394637,203338.92451940937,0.00991807997925203,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,FixedTau,0.1,,60,60,60,60,0,0,0,21272912.832800496,27068403.891045902,24460141.271076635,0.7026185375231929,0.8940365856098904,23916759.814693157,-21089462.954357974,11280334.761454739,30191778.535191488,30192601.670075174,0.012824489997001318,0.0
